"postCode","actUseTypTxt","count"
"820647","5-room","70"
"820646","4-room","31"
"820646","5-room","60"
"820645","4-room","32"
"820645","5-room","68"
"820643","4-room","19"
"820643","5-room","74"
"820299","4-room","42"
"820299","5-room","72"
"820298","4-room","58"
"820298","5-room","28"
"820297","4-room","54"
"820297","5-room","60"
"820296","4-room","29"
"820296","5-room","87"
"820295","4-room","29"
"820295","5-room","88"
"820294","4-room","28"
"820294","5-room","89"
"820293","4-room","28"
"820293","5-room","88"
"820193","4-room","34"
"820193","5-room","80"
"820192","5-room","32"
"820192","Executive","64"
"820191","5-room","26"
"820191","Executive","52"
"820190","5-room","31"
"820190","Executive","64"
"820188","5-room","31"
"820188","Executive","64"
"820187","5-room","26"
"820187","Executive","52"
"820186","5-room","32"
"820186","Executive","64"
"820185","5-room","34"
"820185","Executive","62"
"820184","5-room","28"
"820184","Executive","46"
"820183","5-room","34"
"820183","Executive","58"
"820182","5-room","28"
"820182","Executive","46"
"820181","5-room","34"
"820181","Executive","58"
"820178","4-room","34"
"820178","5-room","80"
"820138","4-room","64"
"820138","5-room","96"
"820135","4-room","66"
"820135","5-room","90"
"820134","4-room","68"
"820134","5-room","103"
"820133","4-room","68"
"820133","5-room","103"
"820132","4-room","28"
"820132","5-room","123"
"820130","4-room","64"
"820130","5-room","96"
"820118","4-room","32"
"820118","5-room","32"
"820118","Executive","64"
"820117","4-room","32"
"820117","5-room","32"
"820117","Executive","64"
"820116","4-room","32"
"820116","5-room","32"
"820116","Executive","64"
"820115","Executive","80"
"820114","4-room","34"
"820114","5-room","33"
"820114","Executive","96"
"820112","4-room","34"
"820112","5-room","33"
"820112","Executive","64"
"820111","4-room","34"
"820111","5-room","33"
"820111","Executive","64"
"794453","3-room","63"
"794453","4-room","75"
"794441","3-room","22"
"794441","4-room","98"
"794436","3-room","40"
"794436","4-room","70"
"794430","4-room","72"
"794430","5-room","63"
"794403","4-room","76"
"794403","5-room","72"
"793472","4-room","68"
"793472","5-room","89"
"793471","3-room","84"
"793471","4-room","80"
"793470","3-room","50"
"793470","4-room","122"
"793469","4-room","75"
"793469","5-room","75"
"793468","4-room","50"
"793468","5-room","50"
"793453","4-room","126"
"793450","2-room","50"
"793450","3-room","92"
"793446","4-room","96"
"793443","2-room","42"
"793443","3-room","21"
"793443","4-room","78"
"793441","2-room","43"
"793441","3-room","24"
"793441","4-room","67"
"793440","4-room","62"
"793440","5-room","62"
"793439","3-room","24"
"793439","4-room","72"
"793436","3-room","48"
"793436","4-room","96"
"793435","4-room","84"
"793435","5-room","46"
"793430","3-room","93"
"793430","4-room","30"
"793418","4-room","120"
"793416","4-room","61"
"793416","5-room","80"
"793415","4-room","61"
"793415","5-room","82"
"793410","4-room","136"
"793408","4-room","68"
"793408","5-room","62"
"793406","4-room","68"
"793406","5-room","88"
"793405","4-room","63"
"793405","5-room","21"
"793403","4-room","43"
"793403","5-room","42"
"792472","3-room","90"
"792472","4-room","66"
"792471","4-room","124"
"792471","5-room","48"
"792470","3-room","90"
"792470","4-room","96"
"792469","4-room","75"
"792469","5-room","75"
"792468","4-room","100"
"792468","5-room","50"
"792467","2-room","50"
"792467","3-room","50"
"792467","4-room","100"
"792453","4-room","120"
"792452","4-room","78"
"792452","5-room","39"
"792451","4-room","90"
"792451","5-room","45"
"792450","2-room","42"
"792450","3-room","92"
"792448","2-room","48"
"792448","3-room","90"
"792447","2-room","50"
"792447","3-room","46"
"792447","4-room","17"
"792446","4-room","96"
"792445","2-room","40"
"792445","3-room","66"
"792445","4-room","52"
"792443","2-room","40"
"792443","3-room","19"
"792443","4-room","78"
"792441","2-room","43"
"792441","3-room","24"
"792441","4-room","67"
"792440","4-room","67"
"792440","5-room","67"
"792439","3-room","40"
"792439","4-room","80"
"792438","3-room","24"
"792438","4-room","72"
"792436","3-room","20"
"792436","4-room","100"
"792435","3-room","23"
"792435","4-room","112"
"792434","4-room","96"
"792434","5-room","40"
"792433","4-room","78"
"792433","5-room","52"
"792432","3-room","23"
"792432","4-room","100"
"792430","3-room","87"
"792430","4-room","42"
"792418","2-room","38"
"792418","3-room","38"
"792418","4-room","114"
