year,level_1,level_2,level_3,value
2001,85 Years & Over,Total HDB Dwellings,HDB 4-Room Flats,4884
2001,85 Years & Over,Total HDB Dwellings,HDB 5-Room And Executive Flats,3309
2002,Residents,Total HDB Dwellings,HDB 1- And 2-Room Flats,94380
2002,Residents,Total HDB Dwellings,HDB 3-Room Flats,655820
2002,Residents,Total HDB Dwellings,HDB 4-Room Flats,1175794
2002,Residents,Total HDB Dwellings,HDB 5-Room And Executive Flats,906031
2002,0-4 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,3457
2002,0-4 Years,Total HDB Dwellings,HDB 3-Room Flats,34415
2002,0-4 Years,Total HDB Dwellings,HDB 4-Room Flats,78957
2002,0-4 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,71939
2002,5-9 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,3316
2002,5-9 Years,Total HDB Dwellings,HDB 3-Room Flats,32213
2002,5-9 Years,Total HDB Dwellings,HDB 4-Room Flats,91243
2002,5-9 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,83321
2002,10-14 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,3630
2002,10-14 Years,Total HDB Dwellings,HDB 3-Room Flats,35652
2002,10-14 Years,Total HDB Dwellings,HDB 4-Room Flats,92851
2002,10-14 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,78946
2002,15-19 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,4225
2002,15-19 Years,Total HDB Dwellings,HDB 3-Room Flats,35759
2002,15-19 Years,Total HDB Dwellings,HDB 4-Room Flats,78532
2002,15-19 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,57189
2002,20-24 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,5139
2002,20-24 Years,Total HDB Dwellings,HDB 3-Room Flats,45861
2002,20-24 Years,Total HDB Dwellings,HDB 4-Room Flats,81007
2002,20-24 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,52427
2002,25-29 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,4981
2002,25-29 Years,Total HDB Dwellings,HDB 3-Room Flats,58114
2002,25-29 Years,Total HDB Dwellings,HDB 4-Room Flats,98617
2002,25-29 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,64953
2002,30-34 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,4765
2002,30-34 Years,Total HDB Dwellings,HDB 3-Room Flats,53913
2002,30-34 Years,Total HDB Dwellings,HDB 4-Room Flats,104010
2002,30-34 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,86981
2002,35-39 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,5588
2002,35-39 Years,Total HDB Dwellings,HDB 3-Room Flats,57030
2002,35-39 Years,Total HDB Dwellings,HDB 4-Room Flats,113456
2002,35-39 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,94074
2002,40-44 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,7405
2002,40-44 Years,Total HDB Dwellings,HDB 3-Room Flats,58610
2002,40-44 Years,Total HDB Dwellings,HDB 4-Room Flats,109074
2002,40-44 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,90337
2002,45-49 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,8057
2002,45-49 Years,Total HDB Dwellings,HDB 3-Room Flats,55978
2002,45-49 Years,Total HDB Dwellings,HDB 4-Room Flats,97381
2002,45-49 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,74012
2002,50-54 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,7782
2002,50-54 Years,Total HDB Dwellings,HDB 3-Room Flats,51314
2002,50-54 Years,Total HDB Dwellings,HDB 4-Room Flats,75304
2002,50-54 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,54122
2002,55-59 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,6358
2002,55-59 Years,Total HDB Dwellings,HDB 3-Room Flats,36750
2002,55-59 Years,Total HDB Dwellings,HDB 4-Room Flats,44792
2002,55-59 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,29517
2002,60-64 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,7806
2002,60-64 Years,Total HDB Dwellings,HDB 3-Room Flats,35355
2002,60-64 Years,Total HDB Dwellings,HDB 4-Room Flats,37221
2002,60-64 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,23029
2002,65-69 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,6668
2002,65-69 Years,Total HDB Dwellings,HDB 3-Room Flats,25276
2002,65-69 Years,Total HDB Dwellings,HDB 4-Room Flats,26830
2002,65-69 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,15971
2002,70-74 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,6388
2002,70-74 Years,Total HDB Dwellings,HDB 3-Room Flats,18054
2002,70-74 Years,Total HDB Dwellings,HDB 4-Room Flats,20989
